month,year,AirPtCd,minTmpF,maxTmpF,avgMinTmpF,avgMaxTmpF,avgTmpF,avgTmpDiffF,avgPrecipIn,maxWindMPH,avgWindMPH,numSunDay,numDay,city,state,longitude,latitude
Jul,2015.0,KAGC,55,91,64.58064516129032,81.70967741935483,72.87096774193549,17.129032258064516,0.09935483870967741,33,11.838709677419354,16.0,31.0,Pittsburgh,Pennsylvania,-79.95,40.45
Jul,2015.0,KALB,52,95,62.32258064516129,83.70967741935483,73.19354838709677,21.387096774193548,0.1368,24,16.580645161290324,8.0,31.0,Albany,New York,-73.75,42.6667
Jul,2015.0,KAMA,56,98,66.6774193548387,89.70967741935483,78.41935483870968,23.032258064516128,0.21258064516129033,41,24.516129032258064,18.0,31.0,Amarillo,Texas,-101.833,35.1833
Jul,2015.0,KANJ,43,95,54.32258064516129,77.61290322580645,66.2258064516129,23.29032258064516,0.11296296296296296,20,14.952380952380953,11.0,31.0,Sault Ste Marie,Michigan,-84.35,46.5
Jul,2015.0,KART,42,87,57.25806451612903,77.64516129032258,67.74193548387096,20.387096774193548,0.053,26,16.032258064516128,16.0,31.0,Watertown,New York,-75.9167,43.9667
Jul,2015.0,KATL,68,94,72.61290322580645,90.06451612903226,81.6774193548387,17.451612903225808,0.1926923076923077,37,18.70967741935484,2.0,31.0,Atlanta,Georgia,-84.3833,33.75
Jul,2015.0,KAVP,51,93,61.774193548387096,84.03225806451613,73.16129032258064,22.258064516129032,0.0803448275862069,24,14.612903225806452,13.0,31.0,Scranton,Pennsylvania,-75.65,41.4
Jul,2015.0,KBAD,69,101,75.54838709677419,95.09677419354838,85.12903225806451,19.548387096774192,0.06548387096774193,24,13.03225806451613,29.0,31.0,Shreveport,Louisiana,-93.7,32.4667
Jul,2015.0,KBFI,55,98,63.41935483870968,83.38709677419355,72.90322580645162,19.967741935483872,0.00870967741935484,13,10.03225806451613,15.0,31.0,Seattle,Washington,-122.333,47.6167
Jul,2015.0,KBFM,68,98,75.29032258064517,93.09677419354838,83.80645161290323,17.806451612903224,0.1003225806451613,59,15.129032258064516,26.0,31.0,Mobile,Alabama,-88.05,30.7
Jul,2015.0,KBGR,47,87,56.0,78.09677419354838,67.29032258064517,22.096774193548388,0.04,26,16.677419354838708,5.0,31.0,Bangor,Maine,-68.7833,44.8
Jul,2015.0,KBHB,48,86,55.61290322580645,74.7741935483871,65.16129032258064,19.161290322580644,0.04419354838709678,18,12.548387096774194,12.0,31.0,Eastport,Maine,-66.99,44.91
Jul,2015.0,KBHM,68,98,73.12903225806451,92.35483870967742,83.0,19.225806451612904,0.2646428571428572,39,19.258064516129032,10.0,31.0,Birmingham,Alabama,-86.8333,33.5
Jul,2015.0,KBIS,45,95,58.61290322580645,84.90322580645162,72.03225806451613,26.29032258064516,0.06565217391304348,51,22.451612903225808,22.0,31.0,Bismarck,North Dakota,-100.783,46.8
Jul,2015.0,KBJC,55,95,59.064516129032256,83.83870967741936,71.38709677419355,24.774193548387096,0.0,29,17.516129032258064,18.0,31.0,Denver,Colorado,-105.0,39.75
Jul,2015.0,KBKE,33,99,47.2,84.93333333333334,66.33333333333333,37.733333333333334,0.0996153846153846,28,17.833333333333332,26.0,31.0,Baker,Oregon,-117.833,44.7833
Jul,2015.0,KBKL,59,89,67.35483870967742,79.09677419354838,72.87096774193549,11.741935483870968,0.015806451612903227,30,15.483870967741936,18.0,31.0,Cleveland,Ohio,-81.6167,41.4667
Jul,2015.0,KBNA,65,96,71.48387096774194,90.12903225806451,81.09677419354838,18.64516129032258,0.24379310344827587,46,16.612903225806452,2.0,31.0,Nashville,Tennessee,-86.7833,36.1667
Jul,2015.0,KBOI,51,104,63.0,90.12903225806451,76.90322580645162,27.129032258064516,0.05413793103448276,39,19.451612903225808,27.0,31.0,Boise,Idaho,-116.217,43.6
Jul,2015.0,KBOS,59,92,66.2258064516129,81.51612903225806,74.16129032258064,15.290322580645162,0.0891304347826087,25,17.548387096774192,4.0,31.0,Boston,Massachusetts,-71.0833,42.35
Jul,2015.0,KBUF,50,91,62.0,79.90322580645162,71.16129032258064,17.903225806451612,0.08642857142857142,29,17.677419354838708,8.0,31.0,Buffalo,New York,-78.8333,42.9167
